 82 :  5 183 146 106 135 174 
183 :  5  82  27  21  99  72 
 27 :  3 128 183 133 
128 :  5  27  89  45  33  91 
 89 :  5 190 130 128 163 200 
190 :  5  89  35  98  45  66 
 35 :  5 136 190 107 187 104 
136 :  5  35  52  22  62  11 
 52 :  5 153 136 176 108 104 
153 :  5  52   3  99  50  96 
  3 :  5 104 153 148 174 128 
104 :  5   3  77  73  22  81 
 77 :  5 178 104 124 187 174 
178 :  5  77  99  58  54  76 
 99 :  5 200 178 139 153 183 
200 :  5  99  59  62  24  88 
 59 :  5 160 200 110 130 146 
160 :  5  59  73  12   5  85 
 73 :  5 174 160 184 104 102 
174 :  5  73  78  75   9  97 
 78 :  5 179 174 185 147 105 
179 :  5  78  25  55  17  47 
 25 :  5 126 179 166 101 123 
126 :  5  25  39   2  46  45 
 39 :  5 140 126 167 152 123 
140 :  5  39  47  56   2   5 
185 :  5  84  42  78   7  39 
 84 :  5 185 112 142 181 195 
112 :  5  11  84  36  85  62 
 11 :  5 112 125 103 191 167 
 42 :  5 143 185 186 108 175 
143 :  5  42  15  72  95  36 
 15 :  5 116 143 129 120 114 
116 :  5  15  88  87  77  73 
 88 :  5 189 116 181 200 136 
189 :  4  88  50  66  69 
 50 :  5 151 189 150 121 174 
151 :  5  50  74  64  30  95 
 74 :  5 175 151 195 174 161 
175 :  5  74  23  76  44  56 
 23 :  5 124 175 117 120 145 
124 :  5  23  93  77  10  76 
 93 :  5 194 124 176 200 102 
194 :  5  93  37  75  68  26 
 37 :  5 138 194 187 131 164 
138 :  5  37   2  54  86  72 
  2 :  5 103 138 126 162 193 
103 :  5   2  31  11  92  81 
 31 :  5 132 103 125 167 190 
132 :  5  31  28  83   1  62 
 28 :  5 129 132 169 146 144 
129 :  5  28 100   4  15  82 
100 :  5 201 129 182 122 125 
201 :  5 100  44  63  57  75 
 44 :  5 145 201 175 176 172 
145 :  4  44  69  23  72 
 69 :  5 170 145 157 195 114 
170 :  5  69  61  29  38  64 
 61 :  5 162 170 163 174 111 
162 :  3  61  70   2 
 70 :  5 171 162 133 174 181 
171 :  5  70  38  72  46  98 
 38 :  5 139 171 172 197 123 
139 :  5  38  55  99  80  39 
 55 :  5 156 139 135 172 179 
156 :  4  55  53  62  66 
 53 :  5 154 156 119 114 120 
154 :  5  53  95  30  94  49 
 95 :  5 196 154 176 143 182 
196 :  5  95  56  81  11  92 
